ClusterId,Latitude,Longitude
1,40.766160,-73.969482
1,40.765997,-73.969580
1,40.765969,-73.969813
1,40.765772,-73.969830
1,40.765614,-73.969879
1,40.765471,-73.969931
1,40.765437,-73.970140
1,40.765450,-73.970420
1,40.765212,-73.970413
1,40.764944,-73.970405
1,40.764860,-73.970428
1,40.764580,-73.970517
1,40.764445,-73.970615
1,40.764281,-73.970832
1,40.764087,-73.971043
1,40.763860,-73.971028
1,40.763602,-73.971041
1,40.763545,-73.971142
1,40.763385,-73.971342
1,40.763232,-73.971557
1,40.763186,-73.971779
1,40.762907,-73.971782
1,40.762741,-73.971997
1,40.762677,-73.971995
1,40.762451,-73.972182
1,40.762199,-73.972263
1,40.761910,-73.972297
1,40.761707,-73.972230
1,40.761599,-73.972449
1,40.761470,-73.972373
1,40.761447,-73.972258
1,40.761687,-73.972013
1,40.761893,-73.971905
1,40.762032,-73.971850
1,40.761904,-73.971583
1,40.761723,-73.971483
1,40.761517,-73.971290
1,40.761331,-73.971390
1,40.761163,-73.971613
1,40.761070,-73.971538
1,40.760817,-73.971377
1,40.760725,-73.971433
1,40.760525,-73.971595
1,40.760476,-73.971849
1,40.760352,-73.972016
1,40.760558,-73.972138
1,40.760585,-73.972362
1,40.760538,-73.972535
1,40.760345,-73.971955
1,40.760318,-73.971890
1,40.760278,-73.971558
1,40.760222,-73.971525
1,40.760218,-73.971388
1,40.760333,-73.971202
1,40.760428,-73.970983
1,40.760625,-73.971022
1,40.760590,-73.971115
1,40.760553,-73.971013
1,40.760128,-73.971313
1,40.760065,-73.971050
1,40.759907,-73.970962
1,40.759971,-73.970876
1,40.760429,-73.971546
1,40.760365,-73.971414
1,40.760421,-73.971387
1,40.760510,-73.971532
1,40.760751,-73.971435
1,40.760693,-73.971393
1,40.760657,-73.971282
1,40.760736,-73.971218
1,40.760993,-73.971133
1,40.761123,-73.970880
1,40.761321,-73.971045
1,40.761298,-73.971027
1,40.761319,-73.970916
1,40.761547,-73.970765
1,40.761597,-73.970789
1,40.761573,-73.970717
1,40.761703,-73.970493
1,40.761527,-73.970273
1,40.761275,-73.970428
1,40.761298,-73.970562
1,40.761147,-73.970548
1,40.761230,-73.970525
1,40.761321,-73.970500
1,40.761228,-73.970339
1,40.761175,-73.970082
1,40.761072,-73.969811
1,40.760853,-73.969793
1,40.760628,-73.969912
1,40.760557,-73.970140
1,40.760619,-73.970257
1,40.760867,-73.970407
1,40.760293,-73.970057
1,40.760108,-73.970022
1,40.759940,-73.969837
1,40.759803,-73.969915
1,40.759622,-73.970149
1,40.759420,-73.970308
1,40.759227,-73.970497
1,40.758983,-73.970507
1,40.758834,-73.970541
1,40.758594,-73.970690
1,40.758384,-73.970759
1,40.758288,-73.970900
1,40.758303,-73.971112
1,40.758227,-73.971215
1,40.757984,-73.971329
1,40.757741,-73.971454
1,40.757463,-73.971515
1,40.757328,-73.971780
1,40.757045,-73.971763
1,40.756907,-73.971925
1,40.756962,-73.972206
1,40.757010,-73.972395
1,40.757072,-73.972455
1,40.757284,-73.972620
1,40.757321,-73.972831
1,40.757168,-73.973048
1,40.757034,-73.973177
1,40.756827,-73.973307
1,40.756880,-73.973465
1,40.756997,-73.973480
1,40.757229,-73.973507
1,40.757403,-73.973678
1,40.757413,-73.973867
1,40.757283,-73.974117
1,40.757060,-73.974048
1,40.756872,-73.974010
1,40.757073,-73.974328
1,40.756917,-73.974535
1,40.756743,-73.974747
1,40.756842,-73.974912
1,40.756633,-73.974763
1,40.756547,-73.974635
1,40.756280,-73.974567
1,40.756112,-73.974797
1,40.755903,-73.974693
1,40.755789,-73.974952
1,40.755612,-73.975188
1,40.755517,-73.975431
1,40.755483,-73.975680
1,40.755294,-73.975901
1,40.755211,-73.976106
1,40.755042,-73.975847
1,40.754778,-73.975879
1,40.754535,-73.975895
1,40.754547,-73.976110
1,40.754665,-73.976277
1,40.754386,-73.975922
1,40.754185,-73.976042
1,40.754083,-73.976212
1,40.753917,-73.976378
1,40.754483,-73.975815
1,40.754468,-73.975583
1,40.754260,-73.975521
1,40.754611,-73.975507
1,40.754687,-73.975360
1,40.754676,-73.975211
1,40.754567,-73.974947
1,40.754361,-73.975110
1,40.754126,-73.975173
1,40.754096,-73.974930
1,40.754122,-73.974692
1,40.754152,-73.974567
1,40.754332,-73.974536
1,40.754115,-73.974899
1,40.754193,-73.975009
1,40.754697,-73.974775
1,40.754910,-73.974772
1,40.755065,-73.974892
1,40.755149,-73.975064
1,40.755360,-73.975018
1,40.755084,-73.974975
1,40.755117,-73.974938
1,40.754868,-73.975493
1,40.755025,-73.975448
1,40.755065,-73.975357
1,40.754892,-73.975485
1,40.754851,-73.975409
1,40.754669,-73.975562
1,40.754684,-73.975570
1,40.754582,-73.975403
1,40.754453,-73.975643
1,40.754509,-73.975645
1,40.754507,-73.975832
1,40.754536,-73.975814
1,40.754572,-73.975738
1,40.754646,-73.975850
1,40.754810,-73.976122
1,40.754963,-73.976378
1,40.755092,-73.976525
1,40.755140,-73.976722
