ClusterId,Latitude,Longitude,Size
0,40.756859,-73.963026,928
1,40.723869,-73.997964,906
2,40.759376,-73.966635,881
3,40.779738,-73.981362,863
4,40.743925,-73.991739,855
5,40.766322,-73.983262,828
6,40.738400,-73.977446,820
7,40.782149,-73.959166,849
8,40.775005,-73.962716,787
9,40.759418,-73.987418,775
10,40.761868,-73.972729,758
11,40.768688,-73.959674,739
12,40.755182,-73.972798,722
13,40.782870,-73.977269,713
14,40.748476,-73.980816,701
15,40.757454,-73.981162,698
16,40.745958,-73.994231,696
17,40.752741,-73.979593,685
18,40.752450,-73.976179,680
19,40.770737,-73.983594,673
20,40.739507,-73.990183,668
21,40.752832,-73.991074,658
22,40.739234,-73.983809,629
23,40.720418,-74.004771,628
24,40.715652,-74.008434,623
25,40.766256,-73.963405,622
26,40.724811,-73.991769,624
27,40.804920,-73.966219,615
28,40.787070,-73.973276,609
29,40.710618,-74.015866,598
30,40.741703,-74.001141,610
31,40.757227,-73.976211,582
32,40.764143,-73.979802,577
33,40.741781,-73.997287,572
34,40.732780,-73.994783,555
35,40.746119,-73.997867,553
36,40.729130,-73.987345,550
37,40.762011,-73.981673,546
38,40.774038,-73.874621,556
39,40.733628,-73.983895,536
40,40.791303,-73.953261,525
41,40.750605,-73.983467,521
42,40.750278,-73.988011,520
43,40.774192,-73.872899,504
44,40.778290,-73.945515,492
45,40.714746,-74.015392,492
46,40.750295,-73.972634,485
47,40.764486,-73.969053,477
48,40.779346,-73.953586,474
49,40.741757,-73.981131,471
50,40.777933,-73.987737,468
51,40.707456,-74.012180,459
52,40.755825,-73.994287,459
53,40.762316,-73.969305,449
54,40.743762,-73.973611,452
55,40.736778,-73.993695,446
56,40.752685,-73.967113,442
57,40.724929,-73.984448,439
58,40.734167,-74.002451,459
59,40.774322,-73.977386,434
60,40.768875,-73.981904,429
61,40.728938,-74.005063,422
62,40.764103,-73.965916,422
63,40.777634,-73.948832,417
64,40.750253,-73.994882,407
65,40.771206,-73.949584,405
66,40.725129,-74.007880,403
67,40.746018,-73.987095,402
68,40.729837,-73.981306,398
69,40.644781,-73.781903,404
70,40.755071,-73.984758,383
71,40.775230,-73.953678,378
72,40.761544,-73.976005,375
73,40.782214,-73.948624,375
74,40.742751,-74.007366,369
75,40.750248,-74.002386,376
76,40.721537,-73.982998,365
77,40.770648,-73.865168,361
78,40.768697,-73.969276,362
79,40.786194,-73.979688,359
80,40.732356,-74.000577,354
81,40.788099,-73.967357,342
82,40.783473,-73.970722,343
83,40.773570,-73.966165,341
84,40.746176,-74.005270,340
85,40.764158,-73.954093,334
86,40.782021,-73.953713,329
87,40.778844,-73.974272,315
88,40.641477,-73.787783,316
89,40.729424,-73.998446,314
90,40.720640,-73.993897,310
91,40.790737,-73.969151,285
92,40.777512,-73.957012,282
93,40.795301,-73.972828,275
94,40.797927,-73.960236,270
95,40.790980,-73.976333,267
96,40.773003,-73.885331,266
97,40.775441,-73.980166,247
98,40.770749,-73.953812,256
99,40.753037,-73.996661,225
100,40.749958,-73.992234,209
101,40.773687,-73.870552,222
102,40.729225,-73.977625,204
103,40.808242,-73.963845,203
104,40.788999,-73.943638,192
105,40.730826,-73.988821,194
106,40.781855,-73.982994,193
107,40.735513,-73.985389,185
108,40.786062,-73.950044,181
109,40.749045,-73.969801,184
110,40.716685,-73.991435,182
111,40.799780,-73.962566,172
112,40.721412,-73.844342,181
113,40.746405,-73.971642,163
114,40.648629,-73.784059,183
115,40.725655,-73.980792,159
116,40.737223,-73.986836,151
117,40.814817,-73.959104,148
118,40.750730,-73.998150,146
119,40.719715,-74.010509,142
120,40.730720,-74.006635,141
121,40.781928,-73.945932,139
122,40.777159,-73.982753,130
123,40.691335,-73.993853,128
124,40.725364,-73.977911,126
125,40.778935,-73.958195,126
126,40.772178,-73.965287,122
127,40.773523,-73.957655,109
128,40.761937,-74.000402,109
129,40.774492,-73.951247,109
130,40.639536,-73.786252,108
131,40.761772,-73.957441,104
132,40.765344,-73.975025,104
133,40.728775,-73.992359,103
134,40.735020,-74.000297,101
135,40.792118,-73.964469,107
136,40.765516,-73.972179,100
137,40.744304,-74.002898,93
138,40.759462,-73.830386,90
139,40.738678,-74.003630,87
140,40.692383,-73.988954,90
141,40.764019,-73.901997,120
142,40.804799,-73.938577,83
143,40.767816,-73.989575,89
144,40.763784,-73.996240,77
145,40.760507,-74.002622,74
146,40.764851,-73.961147,74
147,40.713281,-74.003873,74
148,40.744799,-73.978356,71
149,40.746473,-74.008118,70
150,40.725856,-73.989670,68
151,40.723276,-74.006167,68
152,40.737283,-73.974109,66
153,40.704346,-74.006291,64
154,40.645457,-73.776353,63
155,40.711943,-74.006208,62
156,40.794685,-73.969916,59
157,40.789992,-73.952180,58
158,40.778851,-73.951243,58
159,40.683215,-73.997764,58
160,40.717496,-73.958086,56
161,40.643854,-73.790712,56
162,40.789586,-73.948226,55
163,40.841596,-73.942502,54
164,40.726930,-73.985672,54
165,40.748687,-74.007060,51
166,40.748209,-73.971039,51
167,40.743832,-73.923105,51
168,40.757313,-74.000987,50
169,40.719821,-73.978014,49
170,40.704544,-74.014414,48
171,40.717163,-74.014337,46
172,40.789642,-73.979813,46
173,40.796678,-73.938034,43
174,40.719295,-73.997194,43
175,40.772267,-73.986268,40
176,40.719182,-73.985025,39
177,40.721466,-73.995836,38
178,40.656976,-73.793731,65
179,40.802873,-73.963772,37
180,40.794994,-73.944308,33
181,40.795106,-73.950496,33
182,40.763212,-73.993064,32
183,40.820239,-73.955130,31
184,40.798536,-73.941697,30
185,40.789824,-73.975596,30
186,40.686270,-73.996284,28
187,40.689846,-73.981185,28
188,40.749744,-74.005033,28
189,40.721134,-73.994855,28
190,40.758174,-73.937536,28
191,40.713477,-73.998068,27
192,40.723565,-74.009530,27
193,40.696394,-73.991353,26
194,40.799184,-73.936198,25
195,40.727314,-74.003385,25
196,40.731225,-73.974164,25
197,40.767522,-73.980281,24
198,40.714651,-73.982031,24
199,40.715988,-73.986673,24
200,40.689833,-73.992345,23
201,40.714311,-73.990107,27
202,40.700717,-73.989836,23
