ClusterId,Latitude,Longitude
1,40.754323,-73.964462
1,40.754482,-73.964220
1,40.754700,-73.964170
1,40.754675,-73.964123
1,40.754692,-73.964142
1,40.754553,-73.964035
1,40.754805,-73.964287
1,40.754554,-73.963927
1,40.754854,-73.964007
1,40.754637,-73.963785
1,40.754674,-73.963802
1,40.754923,-73.964455
1,40.755073,-73.964267
1,40.754378,-73.963732
1,40.754680,-73.963727
1,40.755063,-73.963916
1,40.754436,-73.963644
1,40.754891,-73.963625
1,40.754867,-73.963576
1,40.754900,-73.964733
1,40.754917,-73.964673
1,40.755032,-73.964527
1,40.755222,-73.964415
1,40.755237,-73.964228
1,40.755338,-73.964244
1,40.754387,-73.963599
1,40.754431,-73.963495
1,40.754325,-73.963417
1,40.754325,-73.963394
1,40.754979,-73.963490
1,40.754876,-73.963387
1,40.755100,-73.963515
1,40.754666,-73.963394
1,40.754700,-73.964743
1,40.754873,-73.964787
1,40.755223,-73.964717
1,40.755462,-73.964542
1,40.755408,-73.964448
1,40.755406,-73.964134
1,40.755493,-73.964077
1,40.755560,-73.964372
1,40.754235,-73.963299
1,40.754317,-73.963258
1,40.754392,-73.963245
1,40.754549,-73.963221
1,40.754865,-73.963245
1,40.755187,-73.963538
1,40.755142,-73.963367
1,40.755128,-73.963250
1,40.755011,-73.963180
1,40.755306,-73.963703
1,40.755213,-73.963280
1,40.755437,-73.964910
1,40.755460,-73.964773
1,40.755455,-73.964767
1,40.755427,-73.964703
1,40.755509,-73.964815
1,40.755527,-73.964825
1,40.755558,-73.964741
1,40.755603,-73.964601
1,40.755598,-73.964508
1,40.755606,-73.964443
1,40.755640,-73.964657
1,40.755658,-73.964673
1,40.755685,-73.964651
1,40.755650,-73.964607
1,40.755692,-73.964608
1,40.755630,-73.964587
1,40.755640,-73.964553
1,40.755758,-73.964507
1,40.755682,-73.964379
1,40.755702,-73.964463
1,40.755782,-73.964153
1,40.755804,-73.964507
1,40.755758,-73.964442
1,40.755739,-73.964362
1,40.754533,-73.963007
1,40.755364,-73.963797
1,40.755465,-73.964898
1,40.755595,-73.964840
1,40.755642,-73.964835
1,40.755730,-73.964875
1,40.755703,-73.964849
1,40.755695,-73.964828
1,40.755645,-73.964788
1,40.755728,-73.964820
1,40.755733,-73.964811
1,40.755730,-73.964793
1,40.755739,-73.964774
1,40.755742,-73.964733
1,40.755783,-73.964839
1,40.755802,-73.964843
1,40.755763,-73.964743
1,40.755790,-73.964752
1,40.755770,-73.964688
1,40.755823,-73.964758
1,40.755832,-73.964760
1,40.755822,-73.964649
1,40.755804,-73.964647
1,40.755826,-73.964623
1,40.755808,-73.964583
